,Energy,Fat,saturated fatty acids,Carbohydrate,sugars,Dietary fiber,Protein,Salt
rapeseed_oil,884.0,100.0,7.0,0.0,0.0,0.0,0.0,0.0
sugar,387.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
egg,155.0,11.0,3.3,1.1,1.1,0.0,13.0,0.4
wheat_starch,381.0,0.1,0.0,91.0,0.0,0.0,0.3,0.0
flour,364.0,1.0,0.2,76.0,1.1,2.7,10.0,0.0
potato_starch,357.0,0.1,0.0,83.0,0.5,0.0,0.1,0.0
powdered_milk,357.0,0.8,0.5,52.0,52.0,0.0,36.0,1.5
glucose_syrup,364.0,0.0,0.0,91.0,91.0,0.0,0.0,0.0
salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
lemon_juice,29.0,0.3,0.0,9.3,2.5,2.8,1.1,0.01
